CITY MENTION FREQUENCY ACROSS RESEARCH DOCS:

 187 docs | ירושלים
 163 docs | בבל
  85 docs | ליטא
  58 docs | צפת
  44 docs | ונציה
  41 docs | רומא
  35 docs | ורשה
  35 docs | טבריה
  34 docs | פראג
  32 docs | חברון
  31 docs | שפירא
  31 docs | קושטא
  30 docs | יבנה
  30 docs | וילנא
  28 docs | וינה
  27 docs | ברצלונה
  26 docs | ניו יורק
  26 docs | מגנצא
  26 docs | קהיר
  25 docs | פאס
  23 docs | טולדו
  23 docs | אמסטרדם
  22 docs | סורא
  21 docs | לוד
  19 docs | לובלין
  19 docs | בני ברק
  18 docs | תל אביב
  17 docs | סלוניקי
  16 docs | איזמיר
  16 docs | דמשק
