מזהה,סוג פרק,שם הדמות/הנושא,שנים/תקופה,אזור/מרחב,תקופה,תחום עיקרי,תגיות,תקציר (2–3 שורות),רעיון מרכזי/חידוש,דמויות/השפעות קשורות,קישור ספוטיפיי
1,טקסט יסוד,בן סירא,סביב 190 לפנה״ס,ירושלים; מצרים (תרגום/תוספות הנכד),עת העתיקה,חכמה ומוסר,"ספרות בית שני, מוסר ודרך ארץ, גבולות קאנון, השפעה חז""לית",,,,https://open.spotify.com/episode/3u5udRWI84FVJ3OsOBBbPF?si=ek7V_WzPS7OadSPOZSU-VA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
2,דמות,שמעון בן שטח,המאה ה־1 לפנה״ס,ירושלים,ימי בית שני,"משפט, הנהגה, מוסר","נשיא הסנהדרין, צדוקים, משפט, תיקון חברתי",מנהיג אמיץ שפעל לצדק חברתי ולשלטון החוק. עמד מול המלך ינאי והציל את התורה שבעל־פה.,חוק ומוסר יחד. רפורמות כדרך לשימור התורה.,"אלכסנדר ינאי, חכמי הסנהדרין",https://open.spotify.com/episode/68uAirBRMlyOGWWqbi1MTr?si=h14D1fBLQWqqGWQhVvbk9g&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
3,דמות,פילון האלכסנדרוני,"בערך 20 לפנה""ס–50 לספירה",אלכסנדריה (מצרים הרומית),בית שני,"פילוסופיה יהודית-הלניסטית, פרשנות מקרא","אלגוריה, לוגוס, אפלטוניזם, סטואה, משלחת לקליגולה",הוגה יהודי-הלניסטי שפיתח קריאה אלגורית שיטתית במקרא וסינתזה עם הפילוסופיה היוונית; השפעתו זכתה לפריחה בעיקר אצל אבות הכנסייה.,תורה כחוק טבע אוניברסלי ופרשנות אלגורית כגשר בין מצוות לחכמה.,אפלטון; הסטואים; אבות הכנסייה; ניאופלאטוניזם,https://open.spotify.com/episode/2fMVi1amabmKmdSX6B0EFd?si=qN57GA_wSj-oAyLGESbvcw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
4,דמות,רבי עקיבא בן יוסף,המאה ה־1–2 לספירה,ארץ ישראל,תנאים,"תורה שבעל פה, מנהיגות, קבלה","מרד בר כוכבא, קידוש השם, המשנה, ארבעה שנכנסו לפרדס","מגדולי התנאים, עיצב את עולם התורה שבעל פה לאחר החורבן. הנהיג דור שבור מתוך אהבת ישראל ומסירות.","תורה כמעשה מהפכני־לאומי, איחוד בין עומק פנימי למאבק ציבורי.","רבי מאיר, רבי שמעון בר יוחאי, רחל",https://open.spotify.com/episode/0uanJ3YCjtfh1LxDbnbiPK?si=RxIXO5qGQAyo4tfBx4fpaw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
5,אישיות,עקילס מפונטוס – הגר שהפך את השפה היוונית לכלי נשק של תורה,המאה ה־2 לספירה,האימפריה הרומית; ארץ ישראל; ירושלים,עת העתיקה,תרגום ופרשנות,"תרגום המקרא, פולמוס יהדות–נצרות, תרגום עקילס, רבי עקיבא, ביקורת נוסח, שפה וזהות",עקילס מפונטוס יצר תרגום מילולי קיצוני למקרא כדי לשמר נאמנות למקור העברי ולאפשר דרש של תורה שבעל-פה. התרגום נכתב מול השימוש הנוצרי בתרגום השבעים והשפיע גם על מחקר נוצרי דרך אוריגנס וההקספלה. המילוליות שלו הפכה אותו גם לכלי מרכזי במחקר נוסח המקרא.,תרגום כמגן זהות: מילוליות שמייצרת נאמנות עברית ומרחב דרש מול פרשנות נוצרית.,רבי עקיבא; רבי אליעזר ורבי יהושע; אוריגנס; הירונימוס,https://open.spotify.com/episode/71nqAiPfV8HB7EWCckohvG?si=WbQiatqrSYaFpMpTf0PUBw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
6,דמות,רבי חייא הגדול,המאה ה־2–3 לספירה,"בבל, טבריה",תקופת המעבר תנאים–אמוראים,"תורה שבעל פה, חינוך","שכחת התורה, תוספתא, מסירות",הציל את התורה משכחה בפעולה מעשית כוללת. שילב עמל גשמי ורוחני כדי להעביר מסורת.,תורה נשמרת במעשה. אחריות אישית להעברה דורית.,"רבי יהודה הנשיא, רבי אושעיה",https://open.spotify.com/episode/4MI4LUL2FI4WeVtEdPZS5F?si=1SzwEIsyREKbbi0ep8GRBw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
7,דמות,רבה בר בר חנה,המאה ה־3 לספירה,"בבל, ארץ ישראל",אמוראים,"אגדה, תודעה, אלגוריה","אגדות חז""ל, ים, גלות, תיאולוגיה","אגדותיו הפנטסטיות הן כתב סוד של גלות וגאולה, משלים על עומק ההיסטוריה והאמונה.",אגדה ככלי תיאולוגי. השכל נעצר – הדמיון מתחיל ללמד.,"רבי יוחנן, רמב""ם, מהר""ל, ראיה""ה קוק",https://open.spotify.com/episode/7kYTSzyLvPI8HKdt7bdgf5?si=xjcloiaOTgWatqAtvwcUxQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
8,חיבור/מדרש,מדרש רבה,המאה ה-4–12,"ארץ ישראל, בבל","חז""ל – ימי הביניים","אגדה, פרשנות, דרשנות","פתיחתא, בראשית רבה, ויקרא רבה, דרשות חז""ל","קורפוס אגדי עצום שנערך לאורך מאות שנים, ומשקף דרכי דרשנות וחיים יהודיים ברובד הציבורי.",הדרשה ככלי חינוכי ופילוסופי; יצירה קהילתית של תורה שבעל פה מתפתחת.,"הרד""ל, מהרז""ו, רש""ש",https://open.spotify.com/episode/0iVxn1iT9qqWMkwdQ3ANqu?si=U8YPcUW3QzGJznV1RhN3iA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
9,דמות,רבי יהודה החסיד (חסידי אשכנז),המאה ה-12–13,גרמניה (אשכנז),ראשונים,"מוסר, יראה, מיסטיקה ותפילה","ספר חסידים, חסידות אשכנז, קידוש השם, צוואת ר' יהודה החסיד",ממנהיגי חסידות אשכנז שהעמיד את טהרת הלב מעל חריפות השכל ושילב מוסר עם תפילה כתיקון עולמות; השפיע גם דרך 'צוואה' מעוררת מחלוקת.,"קדושה יומיומית: מסירות נפש כמצב תודעתי מתמשך – שליטה עצמית, אמת ודבקות.","חסידי אשכנז; הנודע ביהודה; החיד""א; הרב עובדיה יוסף (פסיקה על הצוואה)",https://open.spotify.com/episode/70SOBeANLpCEBeEplD3eOw?si=8DJXPWNfRfGaT4gXJh3ojg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
10,חכם,רבנו בחיי בן אשר,המאה ה-13–14,ספרד,ימי הביניים,"פרשנות, מוסר, קבלה","פירוש התורה, כד הקמח, שולחן של ארבע, פרד""ס","פרשן חדשני שהנגיש קבלה, מוסר ודרש בלשון בהירה לכלל ישראל, מפתח גישת הפרד""ס.","שילוב ארבעה רבדים בפירוש אחד שיטתי – פשט, רמז, דרש וסוד בלב הפרשנות.","הרמב""ן, רש""י, הזוהר",https://open.spotify.com/episode/3TickrNhU6vSQBo54LXxGf?si=f_o48wqqTdOqQJDDZ5GmRw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
