total_sages=404  with_location=404
distinct_tokens=325  shared_by_2plus=71

TOP 40 LOCATION TOKENS (count | token):
  38 | ירושלים
  35 | ארץ ישראל
  35 | ספרד
  20 | פולין
  18 | איטליה
  15 | בבל
  13 | אשכנז
  11 | צרפת
  11 | ליטא
  11 | גרמניה
  11 | ישראל
  11 | פרובאנס
   8 | מצרים
   7 | אוסטריה
   6 | פראג
   6 | מרוקו
   5 | רוסיה
   5 | בני ברק
   5 | ברצלונה
   5 | רומא
   5 | ניו יורק
   4 | קרקוב
   4 | קושטא
   4 | צפת
   4 | ונציה
   4 | לונדון
   4 | גליציה
   4 | דמשק
   4 | יבנה
   3 | טבריה
   3 | פורטוגל
   3 | קורדובה
   3 | פרובנס
   3 | צפון אפריקה
   3 | האימפריה העות'מאנית
   3 | חברון
   3 | המבורג
   3 | אמסטרדם
   3 | אירופה
   3 | תימן
