sage_id,sage_name,locations,migration_path
39,רבנו בחיי אבן פקודה – חובות הלבבות,ספרד,"{""from"": ""ספרד"", ""to"": ""ספרד"", ""intermediate"": [], ""description"": ""מספרד לספרד""}"
6,עקילס מפונטוס – הגר שהפך את השפה היוונית לכלי נשק של תורה,ירושלים → יוון → פולין,"{""from"": ""ירושלים"", ""to"": ""פולין"", ""intermediate"": [""יוון""], ""description"": ""מירושלים לפולין""}"
174,רבי רפאל משה לוריא,ירושלים → בבל → מצרים,"{""from"": ""ירושלים"", ""to"": ""עכו"", ""intermediate"": [""בבל"", ""מצרים"", ""ספרד"", ""צרפת"", ""אשכנז""], ""description"": ""מירושלים לעכו""}"
177,הרב אלישע וישליצקי,ירושלים,"{""from"": ""ירושלים"", ""to"": ""ירושלים"", ""intermediate"": [], ""description"": ""מירושלים לירושלים""}"
177,הרב אלישע וישליצקי,יוון → ספרד → צרפת,"{""from"": ""יוון"", ""to"": ""אשכנז"", ""intermediate"": [""ספרד"", ""צרפת""], ""description"": ""מיוון לאשכנז""}"
62,הרב יצחק אבוהב,יוון → ספרד → צפת,"{""from"": ""יוון"", ""to"": ""צפת"", ""intermediate"": [""ספרד""], ""description"": ""מיוון לצפת""}"
164,הרב לוי סעדיה נחמני,ירושלים → מצרים,"{""from"": ""ירושלים"", ""to"": ""מצרים"", ""intermediate"": [], ""description"": ""מירושלים למצרים""}"
177,הרב אלישע וישליצקי,ירושלים → בבל → פולין,"{""from"": ""ירושלים"", ""to"": ""עכו"", ""intermediate"": [""בבל"", ""פולין"", ""טבריה""], ""description"": ""מירושלים לעכו""}"
152,הרב אברהם יהושע השל – הגות ומעורבות מוסרית,בבל → יוון → ספרד,"{""from"": ""בבל"", ""to"": ""אשכנז"", ""intermediate"": [""יוון"", ""ספרד"", ""צרפת""], ""description"": ""מבבל לאשכנז""}"
174,רבי רפאל משה לוריא,בבל → רומא → ספרד,"{""from"": ""בבל"", ""to"": ""טבריה"", ""intermediate"": [""רומא"", ""ספרד""], ""description"": ""מבבל לטבריה""}"
64,"מהר""י מינץ",ספרד → גרמניה → אשכנז,"{""from"": ""ספרד"", ""to"": ""פולין"", ""intermediate"": [""גרמניה"", ""אשכנז""], ""description"": ""מספרד לפולין""}"
27,רב שמואל בן חפני גאון (רשב״ה),יוון → פולין,"{""from"": ""יוון"", ""to"": ""פולין"", ""intermediate"": [], ""description"": ""מיוון לפולין""}"
174,רבי רפאל משה לוריא,ירושלים → ספרד → טבריה,"{""from"": ""ירושלים"", ""to"": ""צפת"", ""intermediate"": [""ספרד"", ""טבריה""], ""description"": ""מירושלים לצפת""}"
154,הרב מרדכי שרעבי,ירושלים → מצרים → ספרד,"{""from"": ""ירושלים"", ""to"": ""אשכנז"", ""intermediate"": [""מצרים"", ""ספרד""], ""description"": ""מירושלים לאשכנז""}"
164,הרב לוי סעדיה נחמני,ירושלים → יוון → ספרד,"{""from"": ""ירושלים"", ""to"": ""פולין"", ""intermediate"": [""יוון"", ""ספרד"", ""צרפת"", ""גרמניה"", ""אשכנז""], ""description"": ""מירושלים לפולין""}"
174,רבי רפאל משה לוריא,ירושלים → ספרד → גרמניה,"{""from"": ""ירושלים"", ""to"": ""פולין"", ""intermediate"": [""ספרד"", ""גרמניה"", ""אשכנז""], ""description"": ""מירושלים לפולין""}"
174,רבי רפאל משה לוריא,ירושלים → מצרים → יוון,"{""from"": ""ירושלים"", ""to"": ""טבריה"", ""intermediate"": [""מצרים"", ""יוון"", ""צרפת"", ""גרמניה""], ""description"": ""מירושלים לטבריה""}"
174,רבי רפאל משה לוריא,מצרים → ספרד → גרמניה,"{""from"": ""מצרים"", ""to"": ""פולין"", ""intermediate"": [""ספרד"", ""גרמניה"", ""אשכנז""], ""description"": ""ממצרים לפולין""}"
47,"המהר""ם מרוטנבורג",ירושלים → ספרד → צרפת,"{""from"": ""ירושלים"", ""to"": ""אשכנז"", ""intermediate"": [""ספרד"", ""צרפת"", ""גרמניה""], ""description"": ""מירושלים לאשכנז""}"
174,רבי רפאל משה לוריא,בבל → יוון → ספרד,"{""from"": ""בבל"", ""to"": ""אשכנז"", ""intermediate"": [""יוון"", ""ספרד"", ""צרפת"", ""גרמניה""], ""description"": ""מבבל לאשכנז""}"
177,הרב אלישע וישליצקי,ירושלים → מצרים → יוון,"{""from"": ""ירושלים"", ""to"": ""צפת"", ""intermediate"": [""מצרים"", ""יוון"", ""ספרד"", ""אשכנז""], ""description"": ""מירושלים לצפת""}"
24,חסדאי אבן שפרוט,ירושלים → יוון → ספרד,"{""from"": ""ירושלים"", ""to"": ""ספרד"", ""intermediate"": [""יוון""], ""description"": ""מירושלים לספרד""}"
62,הרב יצחק אבוהב,צרפת → גרמניה → אשכנז,"{""from"": ""צרפת"", ""to"": ""רוסיה"", ""intermediate"": [""גרמניה"", ""אשכנז""], ""description"": ""מצרפת לרוסיה""}"
40,"הראב""ד מפושקייר (בעל ההשגות)",בבל → ספרד → צרפת,"{""from"": ""בבל"", ""to"": ""אשכנז"", ""intermediate"": [""ספרד"", ""צרפת""], ""description"": ""מבבל לאשכנז""}"
34,"רבי אברהם אבן דאוד (הראב""ד הראשון)",ירושלים → צרפת → אשכנז,"{""from"": ""ירושלים"", ""to"": ""חברון"", ""intermediate"": [""צרפת"", ""אשכנז""], ""description"": ""מירושלים לחברון""}"
74,רבי אלעזר אזכרי,בבל → ספרד → אשכנז,"{""from"": ""בבל"", ""to"": ""צפת"", ""intermediate"": [""ספרד"", ""אשכנז""], ""description"": ""מבבל לצפת""}"
174,רבי רפאל משה לוריא,ירושלים → מצרים → יוון,"{""from"": ""ירושלים"", ""to"": ""לוד"", ""intermediate"": [""מצרים"", ""יוון"", ""רומא"", ""צפת""], ""description"": ""מירושלים ללוד""}"
174,רבי רפאל משה לוריא,ירושלים → בבל → ספרד,"{""from"": ""ירושלים"", ""to"": ""פולין"", ""intermediate"": [""בבל"", ""ספרד"", ""צרפת"", ""גרמניה"", ""אשכנז""], ""description"": ""מירושלים לפולין""}"
189,יעקב בן אשר,בבל → יוון → ספרד,"{""from"": ""בבל"", ""to"": ""אשכנז"", ""intermediate"": [""יוון"", ""ספרד"", ""צרפת"", ""גרמניה""], ""description"": ""מבבל לאשכנז""}"
174,רבי רפאל משה לוריא,ירושלים → יוון → ספרד,"{""from"": ""ירושלים"", ""to"": ""פולין"", ""intermediate"": [""יוון"", ""ספרד"", ""גרמניה"", ""אשכנז""], ""description"": ""מירושלים לפולין""}"
164,הרב לוי סעדיה נחמני,ירושלים → צרפת → גרמניה,"{""from"": ""ירושלים"", ""to"": ""אשכנז"", ""intermediate"": [""צרפת"", ""גרמניה""], ""description"": ""מירושלים לאשכנז""}"
174,רבי רפאל משה לוריא,אשכנז → פולין → צפת,"{""from"": ""אשכנז"", ""to"": ""צפת"", ""intermediate"": [""פולין""], ""description"": ""מאשכנז לצפת""}"
174,רבי רפאל משה לוריא,ירושלים → ספרד → גרמניה,"{""from"": ""ירושלים"", ""to"": ""פולין"", ""intermediate"": [""ספרד"", ""גרמניה"", ""אשכנז""], ""description"": ""מירושלים לפולין""}"
174,רבי רפאל משה לוריא,בבל → יוון → ספרד,"{""from"": ""בבל"", ""to"": ""אשכנז"", ""intermediate"": [""יוון"", ""ספרד"", ""צרפת"", ""גרמניה""], ""description"": ""מבבל לאשכנז""}"
174,רבי רפאל משה לוריא,יוון → ספרד,"{""from"": ""יוון"", ""to"": ""ספרד"", ""intermediate"": [], ""description"": ""מיוון לספרד""}"
174,רבי רפאל משה לוריא,ירושלים → ספרד → צרפת,"{""from"": ""ירושלים"", ""to"": ""אשכנז"", ""intermediate"": [""ספרד"", ""צרפת""], ""description"": ""מירושלים לאשכנז""}"
164,הרב לוי סעדיה נחמני,בבל → ספרד → צרפת,"{""from"": ""בבל"", ""to"": ""אשכנז"", ""intermediate"": [""ספרד"", ""צרפת""], ""description"": ""מבבל לאשכנז""}"
164,הרב לוי סעדיה נחמני,בבל → יוון → ספרד,"{""from"": ""בבל"", ""to"": ""אשכנז"", ""intermediate"": [""יוון"", ""ספרד"", ""צרפת""], ""description"": ""מבבל לאשכנז""}"
39,רבנו בחיי אבן פקודה – חובות הלבבות,ספרד,"{""from"": ""ספרד"", ""to"": ""ספרד"", ""intermediate"": [], ""description"": ""מספרד לספרד""}"
22,רבנו גרשום מאור הגולה,ירושלים → בבל → ספרד,"{""from"": ""ירושלים"", ""to"": ""אשכנז"", ""intermediate"": [""בבל"", ""ספרד"", ""צרפת"", ""גרמניה""], ""description"": ""מירושלים לאשכנז""}"
62,הרב יצחק אבוהב,ספרד,"{""from"": ""ספרד"", ""to"": ""ספרד"", ""intermediate"": [], ""description"": ""מספרד לספרד""}"
174,רבי רפאל משה לוריא,מצרים → ספרד → צרפת,"{""from"": ""מצרים"", ""to"": ""אשכנז"", ""intermediate"": [""ספרד"", ""צרפת""], ""description"": ""ממצרים לאשכנז""}"
39,רבנו בחיי אבן פקודה – חובות הלבבות,יוון → ספרד → צרפת,"{""from"": ""יוון"", ""to"": ""טבריה"", ""intermediate"": [""ספרד"", ""צרפת"", ""אשכנז""], ""description"": ""מיוון לטבריה""}"
174,רבי רפאל משה לוריא,ירושלים → יוון → אתונה,"{""from"": ""ירושלים"", ""to"": ""אתונה"", ""intermediate"": [""יוון""], ""description"": ""מירושלים לאתונה""}"
3,פילון האלכסנדרוני,ירושלים → בבל → מצרים,"{""from"": ""ירושלים"", ""to"": ""פולין"", ""intermediate"": [""בבל"", ""מצרים"", ""אלכסנדריה"", ""יוון"", ""רומא""], ""description"": ""מירושלים לפולין""}"
