SUSPECTED MIS-ATTRIBUTED RESEARCH FILES (id | docs | sage label)

  100 |  2 docs | הרב צדוק הכהן מלובלין – המיסטיקן האינטלקטואלי
  102 |  1 docs | הרב צדוק הכהן מלובלין
  103 |  2 docs | הרב שמואל מוהליבר – מנהיג דתי ומבשר הציונות
  104 |  1 docs | הרב שמואל מוהליבר
  106 |  1 docs | ערוך השולחן (הרב יחיאל מיכל אפשטיין)
  109 |  1 docs | החפץ חיים (רבי ישראל מאיר הכהן)
   11 |  2 docs | הר"ן (רבנו נסים מגירונה)
  112 |  4 docs | הסבא מנובהרדוק – מהפכת המוסר של 'מדרגת האדם'
  113 |  2 docs | הרב שמואל בורנשטיין – בעל 'שם משמואל'
  114 |  1 docs | הרב יוסף רוזין (הגאון הרוגצ'ובי)
  116 |  2 docs | הרב אברהם יצחק הכהן קוק – החזון שאיחד קודש וחול
  118 |  1 docs | הרב כלפון משה הכהן (1874–1950) – רב ג'רבא: הלכה, הנהגה וציונות דתית בצפון אפריקה
  119 |  1 docs | הרב יצחק אלפייה
   12 |  2 docs | רבי שמעון לביא
  121 |  3 docs | הרב יעקב משה חרל"פ (1882–1951) – תלמיד הרב קוק: קבלה, תשובה וגאולת ישראל
  122 |  1 docs | הרב אריה לוין
  123 |  1 docs | פרנץ רוזנצווייג – הפילוסוף שהחזיר את האדם למרכז
  124 |  1 docs | פרנץ רוזנצווייג
  125 |  1 docs | האדמו"ר מפיאסצ'נה (1889–1942) – קודש בתוך החורבן: תורה פסיכולוגית, אמונה ועמידה בגטו ורשה
  126 |  1 docs | הרב עובדיה הדאיה
  127 |  1 docs | חכם מנחם מנשה
  129 |  1 docs | מר שושני
   13 |  2 docs | מהפכת הרמב"ם, תגובת ספרד ומורשת הרמ"א – הקרב על נשמתה של התורה
  130 |  1 docs | הרב יצחק נסים – הראשון לציון שניהל 'מדיניות חוץ' עצמאית
  131 |  1 docs | רבי יצחק כדורי
  133 |  1 docs | הרב אברהם יהושע השל – הגות ומעורבות מוסרית
  136 |  1 docs | הרב שאול ישראלי – הפוסק שבנה גשר בין בית המדרש למדינה
  138 |  2 docs | הרב שלמה זלמן אויערבך
  139 |  1 docs | האדמו"ר מסלונים – בעל 'נתיבות שלום' ("רגלי המשיח")
   14 |  1 docs | רבי יוסף אלבו
  140 |  3 docs | הרב משה־צבי נריה – המהפכן הציוני־דתי שחי כל חייו בין חזון ל"בדיעבד" כעבודה: כשהעשייה היא דרך המלך
  142 |  3 docs | אנדרה נהר
  144 |  1 docs | אליאן עמדו לוי־ולנסי
  146 |  1 docs | הרב מאיר זייני
  148 |  1 docs | הרב מאיר יהודה גץ – 'סבא כותל' שחשף את סודות הכותל
  150 |  3 docs | אלי ויזל
  151 |  3 docs | הרב חיים קניבסקי (1928–2022) – 'שר התורה': פסיקה, שקידה והשפעה בציבור הליטאי
  153 |  2 docs | הרב חיים דרוקמן – מנהיג ציונות דתית בדורנו
  154 |  3 docs | רבי רפאל משה לוריא
  155 |  1 docs | חכם ישועה בן שושן – המקובל שפיקד על סיירת קומנדו
